name,type,value,date
Bangladesh,0,25.899999618530273,01/01/1980
Rwanda,0,28.899999618530273,01/01/1980
Australia,0,31.299999237060547,01/01/1980
Canada,0,32.400001525878906,01/01/1980
Morocco,0,39.20000076293945,01/01/1980
Argentina,0,40.79999923706055,01/01/1980
Uruguay,0,43.599998474121094,01/01/1980
Thailand,0,45.20000076293945,01/01/1980
Madagascar,0,46.79999923706055,01/01/1980
Costa Rica,0,47.5,01/01/1980
Croatia,0,22.799999237060547,01/01/1985
Hungary,0,23.0,01/01/1985
Romania,0,23.299999237060547,01/01/1985
Bangladesh,0,27.84999942779541,01/01/1985
Canada,0,31.5,01/01/1985
Sri Lanka,0,32.5,01/01/1985
Australia,0,32.85000038146973,01/01/1985
Pakistan,0,33.29999923706055,01/01/1985
Ghana,0,35.64999961853027,01/01/1985
Jordan,0,36.099998474121094,01/01/1985
Czech Republic,0,26.600000381469727,01/01/1990
Romania,0,26.850000381469727,01/01/1990
Latvia,0,27.0,01/01/1990
Bangladesh,0,27.600000381469727,01/01/1990
Hungary,0,27.899999618530273,01/01/1990
Slovenia,0,29.200000762939453,01/01/1990
Germany,0,29.200000762939453,01/01/1990
Ukraine,0,29.300000190734863,01/01/1990
Bulgaria,0,30.700000762939453,01/01/1990
Canada,0,31.149999618530273,01/01/1990
Czech Republic,0,25.799999237060547,01/01/1995
Slovak Republic,0,25.799999237060547,01/01/1995
Albania,0,27.0,01/01/1995
Tajikistan,0,29.5,01/01/1995
Pakistan,0,30.899999618530273,01/01/1995
Latvia,0,31.300000190734863,01/01/1995
Egypt  Arab Rep.,0,31.449999809265137,01/01/1995
Mongolia,0,31.75,01/01/1995
Belarus,0,31.850000381469727,01/01/1995
Canada,0,32.40000057220459,01/01/1995
Azerbaijan,0,22.22499990463257,01/01/2000
Slovenia,0,24.799999237060547,01/01/2000
Denmark,0,25.25,01/01/2000
Sweden,0,25.699999809265137,01/01/2000
Slovak Republic,0,27.100000381469727,01/01/2000
Iceland,0,27.399999618530273,01/01/2000
Czech Republic,0,27.5,01/01/2000
Finland,0,27.800000190734863,01/01/2000
Ukraine,0,28.866666793823242,01/01/2000
Kosovo,0,29.0,01/01/2000
Azerbaijan,0,16.600000381469727,01/01/2005
Slovenia,0,24.379999923706055,01/01/2005
Denmark,0,25.840000534057616,01/01/2005
Czech Republic,0,26.420000076293945,01/01/2005
Slovak Republic,0,26.6,01/01/2005
Sweden,0,27.139999771118163,01/01/2005
Norway,0,27.460000228881835,01/01/2005
Ukraine,0,27.539999771118165,01/01/2005
Timor-Leste,0,27.799999237060547,01/01/2005
Finland,0,27.839999771118165,01/01/2005
Ukraine,0,24.54000015258789,01/01/2010
Slovenia,0,25.460000228881835,01/01/2010
Norway,0,25.979999923706053,01/01/2010
Czech Republic,0,26.3,01/01/2010
Iceland,0,26.599999618530273,01/01/2010
Slovak Republic,0,26.820000076293944,01/01/2010
Belarus,0,27.22000045776367,01/01/2010
Finland,0,27.280000305175783,01/01/2010
Algeria,0,27.600000381469727,01/01/2010
Kazakhstan,0,27.64000015258789,01/01/2010
Ukraine,0,25.25,01/01/2015
Slovenia,0,25.399999618530273,01/01/2015
Czech Republic,0,25.899999618530273,01/01/2015
Kosovo,0,26.449999809265137,01/01/2015
Slovak Republic,0,26.5,01/01/2015
Moldova,0,26.649999618530273,01/01/2015
Belarus,0,26.850000381469727,01/01/2015
Kazakhstan,0,26.899999618530273,01/01/2015
Finland,0,27.100000381469727,01/01/2015
Norway,0,27.5,01/01/2015
Bangladesh,0,25.899999618530273,01/01/1980
Rwanda,0,28.899999618530273,01/01/1980
Australia,0,31.299999237060547,01/01/1980
Canada,0,32.400001525878906,01/01/1980
Morocco,0,39.20000076293945,01/01/1980
Argentina,0,40.79999923706055,01/01/1980
Uruguay,0,43.599998474121094,01/01/1980
Thailand,0,45.20000076293945,01/01/1980
Madagascar,0,46.79999923706055,01/01/1980
Costa Rica,0,47.5,01/01/1980
Croatia,0,22.799999237060547,01/01/1985
Hungary,0,23.0,01/01/1985
Romania,0,23.299999237060547,01/01/1985
Bangladesh,0,27.84999942779541,01/01/1985
Canada,0,31.5,01/01/1985
Sri Lanka,0,32.5,01/01/1985
Australia,0,32.85000038146973,01/01/1985
Pakistan,0,33.29999923706055,01/01/1985
Ghana,0,35.64999961853027,01/01/1985
Jordan,0,36.099998474121094,01/01/1985
Czech Republic,0,26.600000381469727,01/01/1990
Romania,0,26.850000381469727,01/01/1990
Latvia,0,27.0,01/01/1990
Bangladesh,0,27.600000381469727,01/01/1990
Hungary,0,27.899999618530273,01/01/1990
Slovenia,0,29.200000762939453,01/01/1990
Germany,0,29.200000762939453,01/01/1990
Ukraine,0,29.300000190734863,01/01/1990
Bulgaria,0,30.700000762939453,01/01/1990
Canada,0,31.149999618530273,01/01/1990
Czech Republic,0,25.799999237060547,01/01/1995
Slovak Republic,0,25.799999237060547,01/01/1995
Albania,0,27.0,01/01/1995
Tajikistan,0,29.5,01/01/1995
Pakistan,0,30.899999618530273,01/01/1995
Latvia,0,31.300000190734863,01/01/1995
Egypt  Arab Rep.,0,31.449999809265137,01/01/1995
Mongolia,0,31.75,01/01/1995
Belarus,0,31.850000381469727,01/01/1995
Canada,0,32.40000057220459,01/01/1995
Azerbaijan,0,22.22499990463257,01/01/2000
Slovenia,0,24.799999237060547,01/01/2000
Denmark,0,25.25,01/01/2000
Sweden,0,25.699999809265137,01/01/2000
Slovak Republic,0,27.100000381469727,01/01/2000
Iceland,0,27.399999618530273,01/01/2000
Czech Republic,0,27.5,01/01/2000
Finland,0,27.800000190734863,01/01/2000
Ukraine,0,28.866666793823242,01/01/2000
Kosovo,0,29.0,01/01/2000
Azerbaijan,0,16.600000381469727,01/01/2005
Slovenia,0,24.379999923706055,01/01/2005
Denmark,0,25.840000534057616,01/01/2005
Czech Republic,0,26.420000076293945,01/01/2005
Slovak Republic,0,26.6,01/01/2005
Sweden,0,27.139999771118163,01/01/2005
Norway,0,27.460000228881835,01/01/2005
Ukraine,0,27.539999771118165,01/01/2005
Timor-Leste,0,27.799999237060547,01/01/2005
Finland,0,27.839999771118165,01/01/2005
Ukraine,0,24.54000015258789,01/01/2010
Slovenia,0,25.460000228881835,01/01/2010
Norway,0,25.979999923706053,01/01/2010
Czech Republic,0,26.3,01/01/2010
Iceland,0,26.599999618530273,01/01/2010
Slovak Republic,0,26.820000076293944,01/01/2010
Belarus,0,27.22000045776367,01/01/2010
Finland,0,27.280000305175783,01/01/2010
Algeria,0,27.600000381469727,01/01/2010
Kazakhstan,0,27.64000015258789,01/01/2010
Ukraine,0,25.25,01/01/2015
Slovenia,0,25.399999618530273,01/01/2015
Czech Republic,0,25.899999618530273,01/01/2015
Kosovo,0,26.449999809265137,01/01/2015
Slovak Republic,0,26.5,01/01/2015
Moldova,0,26.649999618530273,01/01/2015
Belarus,0,26.850000381469727,01/01/2015
Kazakhstan,0,26.899999618530273,01/01/2015
Finland,0,27.100000381469727,01/01/2015
Norway,0,27.5,01/01/2015
